MOVIE_NM,DRCTR_NM,OPN_DE,MOVIE_TY_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
파묘,장재현,20240222,개봉영화,한국,2355.00000,70718847542.00000,7260067.00000,미스터리,15세이상관람가,일반영화
듄: 파트2,드니 빌뇌브,20240228,개봉영화,미국,1544.00000,19141960349.00000,1617500.00000,액션,12세이상관람가,일반영화
댓글부대,안국진,20240327,개봉영화,한국,1228.00000,5042399113.00000,541058.00000,범죄,15세이상관람가,일반영화
웡카,폴 킹,20240131,개봉영화,미국,1753.00000,3838068524.00000,401512.00000,판타지,전체관람가,일반영화
고질라 X 콩: 뉴 엠파이어,아담 윈가드,20240327,개봉영화,미국,996.00000,3220812514.00000,320982.00000,액션,12세이상관람가,일반영화
극장판 스파이 패밀리 코드 : 화이트,카타기리 타카시,20240320,개봉영화,일본,917.00000,2343723486.00000,235008.00000,애니메이션,12세이상관람가,일반영화
브레드이발소: 셀럽 인 베이커리타운,정지환,20240301,개봉영화,한국,342.00000,1474276210.00000,173713.00000,애니메이션,전체관람가,일반영화
가여운 것들,요르고스 란티모스,20240306,개봉영화,미국,471.00000,1421882806.00000,142488.00000,드라마,청소년관람불가,독립/예술영화
건국전쟁,김덕영,20240201,개봉영화,한국,224.00000,1250960217.00000,138922.00000,다큐멘터리,12세이상관람가,일반영화
패스트 라이브즈,셀린 송,20240306,개봉영화,미국,613.00000,1068021931.00000,115193.00000,드라마,12세이상관람가,일반영화
"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",소토자키 하루오,20240214,개봉영화,일본,393.00000,720819400.00000,70124.00000,애니메이션,15세이상관람가,일반영화
아이엠 티라노,,20240301,개봉영화,중국,229.00000,396009500.00000,47077.00000,애니메이션,전체관람가,일반영화
랜드 오브 배드,윌리엄 유뱅크,20240313,개봉영화,미국,394.00000,378632312.00000,44252.00000,액션,15세이상관람가,일반영화
밥 말리: 원 러브,레이날도 마커스 그린,20240313,개봉영화,미국,579.00000,350834494.00000,38585.00000,드라마,15세이상관람가,일반영화
1980,강승용,20240327,개봉영화,한국,522.00000,291901745.00000,32237.00000,드라마,12세이상관람가,일반영화
메이 디셈버,토드 헤인즈,20240313,개봉영화,미국,400.00000,278129018.00000,30186.00000,드라마,청소년관람불가,독립/예술영화
소풍,김용균,20240207,개봉영화,한국,729.00000,235961384.00000,27369.00000,드라마,12세이상관람가,독립/예술영화
로봇 드림,파블로 베르헤르,20240313,개봉영화,스페인,114.00000,228413431.00000,23298.00000,애니메이션,전체관람가,독립/예술영화
용감한 돌고래 벨루와 바닷속 친구들,,20240313,개봉영화,캐나다,180.00000,170511080.00000,23121.00000,애니메이션,전체관람가,독립/예술영화
악은 존재하지 않는다,하마구치 류스케,20240327,개봉영화,일본,149.00000,194554256.00000,19104.00000,드라마,12세이상관람가,독립/예술영화
탐정 말로,닐 조단,20240321,개봉영화,아일랜드,183.00000,137411500.00000,18785.00000,범죄,15세이상관람가,독립/예술영화
추락의 해부,쥐스틴 트리에,20240131,개봉영화,프랑스,236.00000,174494229.00000,17382.00000,드라마,15세이상관람가,독립/예술영화
이승윤 콘서트 도킹 : 리프트오프,,20240322,개봉영화,한국,66.00000,362737000.00000,15918.00000,공연,전체관람가,일반영화
나이트 스윔,브라이스 맥과이어,20240320,개봉영화,미국,195.00000,149987100.00000,15747.00000,공포(호러),12세이상관람가,일반영화
목스박,고훈,20240320,개봉영화,한국,122.00000,139047005.00000,15740.00000,액션,15세이상관람가,일반영화
마담 웹,S.J. 클락슨,20240313,개봉영화,미국,648.00000,142223617.00000,15434.00000,액션,12세이상관람가,일반영화
사운드 오브 프리덤,알레한드로 고메즈 몬테베르드,20240221,개봉영화,미국,248.00000,152539800.00000,14638.00000,범죄,15세이상관람가,일반영화
인어공주: 마법물약의 비밀,,20240314,개봉영화,미국,188.00000,104058262.00000,12056.00000,애니메이션,전체관람가,독립/예술영화
바튼 아카데미,알렉산더 페인,20240221,개봉영화,미국,254.00000,90582381.00000,9641.00000,코미디,15세이상관람가,독립/예술영화
생츄어리 2 : 쿼카가 너무해,리카르드 쿠소,20240307,개봉영화,호주,249.00000,77193841.00000,8743.00000,애니메이션,전체관람가,독립/예술영화
왓츠 러브,세자르 카푸르,20240320,개봉영화,영국,188.00000,76316397.00000,8412.00000,멜로/로맨스,15세이상관람가,독립/예술영화
대결! 애니메이션,요시노 코헤이,20240306,개봉영화,일본,103.00000,56315077.00000,7969.00000,드라마,12세이상관람가,독립/예술영화
괴물,고레에다 히로카즈,20231129,개봉영화,일본,647.00000,73036812.00000,7901.00000,드라마,12세이상관람가,독립/예술영화
원 앤 온리,동성붕,20240313,개봉영화,중국,112.00000,74434310.00000,7568.00000,드라마,12세이상관람가,일반영화
기적의 시작,권순도,20240222,개봉영화,한국,137.00000,68274056.00000,7419.00000,다큐멘터리,12세이상관람가,독립/예술영화
화녀,유영선,20240314,개봉영화,한국,77.00000,59838539.00000,7075.00000,스릴러,청소년관람불가,일반영화
막걸리가 알려줄거야,김다민,20240228,개봉영화,한국,73.00000,63008937.00000,6477.00000,드라마,전체관람가,독립/예술영화
월레스와 그로밋 더 클래식 컬렉션,닉 파크,20240221,개봉영화,영국,52.00000,91757000.00000,6261.00000,애니메이션,전체관람가,일반영화
돌핀,배두리,20240313,개봉영화,한국,67.00000,47303439.00000,5354.00000,드라마,12세이상관람가,독립/예술영화
극장판 츠루네: 시작의 한 발,야마무라 타쿠야,20240221,개봉영화,일본,119.00000,41419536.00000,4486.00000,애니메이션,전체관람가,독립/예술영화
시민덕희,박영주,20240124,개봉영화,한국,1272.00000,29284800.00000,4284.00000,드라마,15세이상관람가,일반영화
에픽하이 20 더 무비,조윤수,20240320,개봉영화,한국,54.00000,95278500.00000,4274.00000,공연,12세이상관람가,일반영화
드림쏭3,안소니 벨,20240328,개봉영화,미국,238.00000,37118011.00000,4272.00000,애니메이션,전체관람가,일반영화
아기상어 극장판: 사이렌 스톤의 비밀,,20240207,개봉영화,미국,578.00000,35230710.00000,3847.00000,애니메이션,전체관람가,독립/예술영화
당신이 잠든 사이,장윤현,20240320,개봉영화,한국,118.00000,34607875.00000,3813.00000,미스터리,12세이상관람가,일반영화
래빗스쿨 2: 부활절 대소동,우테 폰 뮌쇼폴,20240327,개봉영화,독일,126.00000,24842190.00000,3053.00000,애니메이션,전체관람가,독립/예술영화
오키쿠와 세계,사카모토 준지,20240221,개봉영화,일본,36.00000,26155595.00000,2995.00000,드라마,12세이상관람가,독립/예술영화
뒤주,김지운,20240328,개봉영화,한국,52.00000,16113011.00000,2596.00000,공포(호러),15세이상관람가,일반영화
갓랜드,흘리뉘르 팔메이슨,20240228,개봉영화,덴마크,24.00000,19377230.00000,2355.00000,드라마,15세이상관람가,독립/예술영화
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,니시키오리 히로시,20231019,개봉영화,일본,78.00000,26039936.00000,2355.00000,애니메이션,전체관람가,일반영화
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,오네 히토시,20231222,개봉영화,일본,883.00000,21276442.00000,2301.00000,애니메이션,전체관람가,일반영화
서울의 봄,김성수,20231122,개봉영화,한국,2328.00000,16494097.00000,1965.00000,드라마,12세이상관람가,일반영화
더 퍼스트 슬램덩크,이노우에 다케히코,20230104,개봉영화,일본,1023.00000,15548968.00000,1715.00000,애니메이션,12세이상관람가,일반영화
여기는 아미코,,20240228,개봉영화,일본,40.00000,15292330.00000,1637.00000,가족,전체관람가,독립/예술영화
조용한 이주,말레나 최,20240320,개봉영화,덴마크,27.00000,14012300.00000,1543.00000,드라마,12세이상관람가,독립/예술영화
길위에 김대중,민환기,20240110,개봉영화,한국,414.00000,13985100.00000,1504.00000,다큐멘터리,12세이상관람가,독립/예술영화
비욘드 유토피아,매들린 개빈,20240131,개봉영화,미국,158.00000,13161700.00000,1449.00000,다큐멘터리,12세이상관람가,독립/예술영화
플랜 75,하야카와 치에,20240207,개봉영화,일본,50.00000,11912500.00000,1437.00000,드라마,15세이상관람가,독립/예술영화
부활 그 소망,김상철,20240307,개봉영화,한국,26.00000,11674400.00000,1093.00000,다큐멘터리,전체관람가,일반영화
그대들은 어떻게 살 것인가,미야자키 하야오,20231025,개봉영화,일본,1733.00000,9841317.00000,1001.00000,애니메이션,전체관람가,독립/예술영화
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,니시키오리 히로시,20231019,개봉영화,일본,79.00000,11128995.00000,987.00000,애니메이션,전체관람가,일반영화
3일의 휴가,육상효,20231206,개봉영화,한국,863.00000,6057000.00000,939.00000,판타지,12세이상관람가,일반영화
잠행,관지요,20240327,개봉영화,홍콩,32.00000,7625639.00000,840.00000,액션,15세이상관람가,일반영화
레이징 그레이스,패리스 자실라,20240313,개봉영화,영국,28.00000,7565986.00000,812.00000,스릴러,15세이상관람가,독립/예술영화
류이치 사카모토: 오퍼스,소라 네오,20231227,개봉영화,일본,251.00000,7359900.00000,783.00000,공연,전체관람가,독립/예술영화
청춘 돼지는 책가방 소녀의 꿈을 꾸지 않는다,마스이 소이치,20240201,개봉영화,일본,84.00000,6975136.00000,747.00000,애니메이션,12세이상관람가,일반영화
다시 김대중-함께 합시다,김진홍,20240328,개봉영화,한국,58.00000,6353017.00000,700.00000,다큐멘터리,12세이상관람가,독립/예술영화
엘리멘탈,피터 손,20230614,개봉영화,미국,1251.00000,6279826.00000,640.00000,애니메이션,전체관람가,일반영화
세월: 라이프 고즈 온,장민경,20240327,개봉영화,한국,25.00000,5388300.00000,636.00000,다큐멘터리,전체관람가,독립/예술영화
리볼버 릴리,유키사다 이사오,20240321,개봉영화,일본,31.00000,4781969.00000,540.00000,액션,15세이상관람가,독립/예술영화
도그데이즈,김덕민,20240207,개봉영화,한국,847.00000,3845000.00000,530.00000,드라마,12세이상관람가,일반영화
벗어날 탈 脫,서보형,20240221,개봉영화,한국,14.00000,3979000.00000,505.00000,미스터리,15세이상관람가,독립/예술영화
크레센도 반 클라이번 콩쿠르 실황,헤더 윌크,20240131,개봉영화,미국,65.00000,8243000.00000,499.00000,공연,전체관람가,일반영화
나의 올드 오크,켄 로치,20240117,개봉영화,아일랜드,83.00000,4101000.00000,477.00000,드라마,15세이상관람가,독립/예술영화
에스파: 마이 퍼스트 페이지,"김지선,조현정",20240214,개봉영화,한국,68.00000,9386300.00000,432.00000,공연,전체관람가,일반영화
노량: 죽음의 바다,김한민,20231220,개봉영화,한국,2196.00000,3044500.00000,429.00000,사극,12세이상관람가,일반영화
다운폴,올리버 히르비겔,20240327,개봉영화,독일,8.00000,4306100.00000,415.00000,전쟁,청소년관람불가,독립/예술영화
크레센도,헤더 윌크,20231220,개봉영화,미국,81.00000,3653000.00000,405.00000,다큐멘터리,전체관람가,독립/예술영화
DMZ 동물 특공대,홍인표,20240214,개봉영화,한국,201.00000,3196000.00000,385.00000,애니메이션,전체관람가,일반영화
우견니,루오 루오,20240214,개봉영화,중국,143.00000,2834434.00000,314.00000,멜로/로맨스,12세이상관람가,일반영화
벙커 게임,로베르토 자짜라,20240306,개봉영화,이탈리아,19.00000,2944300.00000,301.00000,공포(호러),15세이상관람가,일반영화
스노우 퍼핀즈,,20240215,개봉영화,스페인,315.00000,1827000.00000,290.00000,애니메이션,전체관람가,일반영화
어른 김장하,김현지,20231115,개봉영화,한국,98.00000,1608000.00000,268.00000,다큐멘터리,전체관람가,독립/예술영화
티처스 라운지,일커 카탁,20231227,개봉영화,독일,29.00000,2027000.00000,253.00000,드라마,12세이상관람가,독립/예술영화
너와 나,조현철,20231025,개봉영화,한국,76.00000,2260000.00000,241.00000,드라마,12세이상관람가,독립/예술영화
마에스트로 번스타인,브래들리 쿠퍼,20231206,개봉영화,미국,61.00000,1564500.00000,241.00000,드라마,15세이상관람가,일반영화
극장판 후르츠 바스켓: 프렐류드,이바타 요시히데,20240301,개봉영화,일본,5.00000,1697100.00000,233.00000,애니메이션,12세이상관람가,독립/예술영화
장인과 사위,최이현,20240215,개봉영화,한국,49.00000,2057000.00000,226.00000,코미디,12세이상관람가,독립/예술영화
"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",,20231227,개봉영화,영국,215.00000,1886000.00000,222.00000,애니메이션,전체관람가,독립/예술영화
에브리씽 에브리웨어 올 앳 원스,"다니엘 콴,다니엘 쉐이너트",20221012,개봉영화,미국,620.00000,2532000.00000,219.00000,액션,15세이상관람가,독립/예술영화
위시,"크리스 벅,폰 비라선손",20240103,개봉영화,미국,1421.00000,1504717.00000,195.00000,애니메이션,전체관람가,일반영화
라이즈,세드릭 클라피쉬,20240117,개봉영화,프랑스,68.00000,1255000.00000,194.00000,드라마,15세이상관람가,독립/예술영화
리빙: 어떤 인생,올리버 허머너스,20231213,개봉영화,영국,50.00000,1393000.00000,190.00000,드라마,12세이상관람가,독립/예술영화
나폴레옹,리들리 스콧,20231206,개봉영화,미국,822.00000,1215200.00000,170.00000,전쟁,15세이상관람가,일반영화
인투 더 월드,벤자민 레너,20240110,개봉영화,미국,839.00000,893000.00000,167.00000,애니메이션,전체관람가,일반영화
노 베어스,자파르 파나히,20240110,개봉영화,이란,41.00000,1223000.00000,161.00000,드라마,12세이상관람가,독립/예술영화
검치호,이강욱,20240328,개봉영화,한국,5.00000,1436500.00000,160.00000,액션,15세이상관람가,독립/예술영화
외계+인 2부,최동훈,20240110,개봉영화,한국,1390.00000,1109500.00000,154.00000,기타,12세이상관람가,일반영화
느티나무 아래,오정훈,20231115,개봉영화,한국,13.00000,1239000.00000,151.00000,다큐멘터리,전체관람가,독립/예술영화
어파이어,크리스티안 펫졸드,20230913,개봉영화,독일,68.00000,1203000.00000,145.00000,드라마,12세이상관람가,독립/예술영화
걸즈 앤 판처 최종장 제4화,미즈시마 츠토무,20240117,개봉영화,일본,40.00000,1680000.00000,120.00000,애니메이션,12세이상관람가,일반영화
블루 자이언트,타치카와 유즈루,20231018,개봉영화,일본,574.00000,1385000.00000,120.00000,애니메이션,12세이상관람가,독립/예술영화
"주사위놀이, 마불 세계여행",이광범,20240103,개봉영화,한국,1.00000,708000.00000,118.00000,어드벤처,전체관람가,일반영화
서바이벌 택틱스,박근영,20240221,개봉영화,한국,12.00000,826000.00000,112.00000,드라마,12세이상관람가,독립/예술영화
"타르콥스키, 기도하는 영혼",,20240131,개봉영화,이탈리아,9.00000,893000.00000,111.00000,다큐멘터리,12세이상관람가,독립/예술영화
세기말의 사랑,임선애,20240124,개봉영화,한국,123.00000,695000.00000,99.00000,드라마,12세이상관람가,독립/예술영화
엔드 오브 에반게리온,"안노 히데아키,츠루마키 카즈야",20240117,개봉영화,일본,130.00000,1120000.00000,97.00000,애니메이션,청소년관람불가,일반영화
스즈메의 문단속: 다녀왔어,신카이 마코토,20240110,개봉영화,일본,185.00000,1050000.00000,95.00000,애니메이션,12세이상관람가,독립/예술영화
공백,요시다 케이스케,20240316,개봉영화,일본,3.00000,565500.00000,80.00000,드라마,12세이상관람가,독립/예술영화
아네모네,정하용,20240207,개봉영화,한국,57.00000,432000.00000,78.00000,코미디,15세이상관람가,독립/예술영화
일 부코,미켈란젤로 프라마르티노,20240124,개봉영화,이탈리아,10.00000,497000.00000,73.00000,드라마,전체관람가,독립/예술영화
약속,민병훈,20231101,개봉영화,한국,42.00000,580000.00000,70.00000,다큐멘터리,전체관람가,독립/예술영화
아가일,매튜 본,20240207,개봉영화,미국,841.00000,742500.00000,69.00000,액션,12세이상관람가,일반영화
부르달락: 흡혈귀,에이드리언 보우,20240328,개봉영화,프랑스,5.00000,372000.00000,62.00000,기타,15세이상관람가,독립/예술영화
아녜스 V에 의한 제인 B,아녜스 바르다,20240131,개봉영화,프랑스,33.00000,502000.00000,61.00000,판타지,청소년관람불가,독립/예술영화
사랑은 낙엽을 타고,아키 카우리스마키,20231220,개봉영화,핀란드,40.00000,712000.00000,57.00000,멜로/로맨스,12세이상관람가,독립/예술영화
베어헌터,안톤 머스,20240328,개봉영화,러시아,5.00000,336000.00000,56.00000,어드벤처,15세이상관람가,독립/예술영화
뽀로로 극장판 슈퍼스타 대모험,"윤제완,김성민",20231213,개봉영화,한국,850.00000,324000.00000,50.00000,애니메이션,전체관람가,일반영화
제수씨의 황제 VIP 서비스,,20240308,개봉영화,한국,5.00000,236000.00000,41.00000,성인물(에로),청소년관람불가,일반영화
소녀는 졸업하지 않는다,나카가와 슌,20240124,개봉영화,일본,42.00000,184500.00000,39.00000,멜로/로맨스,12세이상관람가,독립/예술영화